date,region,district,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice,month,year,pct_change,zscore,is_spike,spike_severity
2025-01-15,Southern Region,Chiradzulu,Chiradzulu Boma,773,-15.71,35.18,cereals and tubers,Maize (new harvest),1229,KG,aggregate,Retail,MWK,1600.0,0.93,1,2025,60.00000000000001,2.754743378973724,True,Critical
2025-04-15,Northern Region,Chitipa,Chitipa Boma,774,-9.72,33.27,pulses and nuts,Cowpeas,218,KG,aggregate,Retail,MWK,3500.0,2.04,4,2025,75.0,2.654540475467582,True,Critical
2022-09-15,Northern Region,Chitipa,Chitipa Boma,774,-9.72,33.27,cereals and tubers,Maize,51,KG,aggregate,Retail,MWK,330.0,0.33,9,2022,100.0,2.7635906965856027,True,Critical
2025-09-15,Northern Region,Chitipa,Chitipa Boma,774,-9.72,33.27,cereals and tubers,Maize,51,KG,aggregate,Retail,MWK,989.67,0.57,9,2025,199.89999999999998,3.0739402171083987,True,Critical
2022-09-15,Northern Region,Chitipa,Kameme,2117,-9.57,33.09,cereals and tubers,Maize,51,KG,aggregate,Retail,MWK,336.5,0.33,9,2022,92.28571428571428,2.918398455206554,True,Critical
2025-09-15,Northern Region,Chitipa,Kameme,2117,-9.57,33.09,cereals and tubers,Maize,51,KG,aggregate,Retail,MWK,956.52,0.55,9,2025,184.2555720653789,3.0506166657299816,True,Critical
2022-09-15,Northern Region,Chitipa,Nthalire,816,-10.35,33.65,cereals and tubers,Maize,51,KG,aggregate,Retail,MWK,330.0,0.33,9,2022,100.0,2.8436522130239648,True,Critical
2025-09-15,Northern Region,Chitipa,Nthalire,816,-10.35,33.65,cereals and tubers,Maize,51,KG,aggregate,Retail,MWK,1001.56,0.58,9,2025,203.5030303030303,3.076897394403376,True,Critical
2022-08-15,Central Region,Dedza,Nsikawanjala,2114,-14.39,34.34,cereals and tubers,Maize,51,KG,aggregate,Retail,MWK,300.0,0.3,8,2022,66.66666666666667,2.8975070558916425,True,Critical
2025-03-15,Central Region,Dedza,Nsikawanjala,2114,-14.39,34.34,cereals and tubers,Maize,51,KG,aggregate,Retail,MWK,1600.0,0.93,3,2025,481.8181818181818,3.140375372455641,True,Critical
2024-02-15,Central Region,Dedza,Ntakataka,3630,-14.22,34.51,pulses and nuts,Cowpeas,218,KG,aggregate,Retail,MWK,1850.0,1.11,2,2024,64.44444444444444,2.790411828197798,True,Critical
2025-09-15,Central Region,Dowa,Dowa Boma,825,-13.68,33.98,cereals and tubers,Maize,51,KG,aggregate,Retail,MWK,1275.0,0.74,9,2025,325.0,3.113668474323146,True,Critical
2025-03-15,Central Region,Dowa,Dzaleka,2421,-13.66,33.87,pulses and nuts,Cowpeas,218,KG,aggregate,Retail,MWK,5000.0,2.9,3,2025,62.45475635035642,2.5787850127872027,True,Critical
