date,region,district,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice,month,year,price_pct_change
2025-07-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Cabbage (chinese),843,Bunch,aggregate,Retail,MWK,275.0,0.16,7,2025,-8.333333333333337
2020-11-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Cowpea leaves,898,Heap,aggregate,Retail,MWK,50.0,0.067,11,2020,
2020-12-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Cowpea leaves,898,Heap,aggregate,Retail,MWK,50.0,0.067,12,2020,0.0
2021-01-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Cowpea leaves,898,Heap,aggregate,Retail,MWK,50.0,0.065,1,2021,0.0
2021-02-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Cowpea leaves,898,Heap,aggregate,Retail,MWK,50.0,0.066,2,2021,0.0
2021-03-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Cowpea leaves,898,Heap,aggregate,Retail,MWK,50.0,0.065,3,2021,0.0
2021-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Cowpea leaves,898,Heap,aggregate,Retail,MWK,50.0,0.064,4,2021,0.0
2020-11-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Eggs,92,Unit,aggregate,Retail,MWK,100.0,0.13,11,2020,
2020-12-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Eggs,92,Unit,aggregate,Retail,MWK,100.0,0.13,12,2020,0.0
2021-01-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Eggs,92,Unit,aggregate,Retail,MWK,100.0,0.13,1,2021,0.0
2021-02-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Eggs,92,Unit,aggregate,Retail,MWK,100.0,0.13,2,2021,0.0
2021-03-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Eggs,92,Unit,aggregate,Retail,MWK,100.0,0.13,3,2021,0.0
2021-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Eggs,92,Unit,aggregate,Retail,MWK,100.0,0.13,4,2021,0.0
2025-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Eggs,92,Unit,aggregate,Retail,MWK,450.0,0.26,4,2025,350.0
2025-05-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Eggs,92,Unit,aggregate,Retail,MWK,426.47,0.25,5,2025,-5.228888888888883
2025-06-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Eggs,92,Unit,aggregate,Retail,MWK,500.0,0.29,6,2025,17.241541022815188
2025-07-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Eggs,92,Unit,aggregate,Retail,MWK,500.0,0.29,7,2025,0.0
2025-08-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Eggs,92,Unit,aggregate,Retail,MWK,500.0,0.29,8,2025,0.0
2025-09-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Eggs,92,Unit,aggregate,Retail,MWK,500.0,0.29,9,2025,0.0
2025-10-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Eggs,92,Unit,aggregate,Retail,MWK,500.0,0.29,10,2025,0.0
2025-11-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Eggs,92,Unit,aggregate,Retail,MWK,500.0,0.29,11,2025,0.0
2025-12-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Eggs,92,Unit,aggregate,Retail,MWK,500.0,0.29,12,2025,0.0
2026-01-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Eggs,92,Unit,aggregate,Retail,MWK,550.0,0.32,1,2026,10.000000000000009
2026-02-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Eggs,92,Unit,aggregate,Retail,MWK,500.0,0.29,2,2026,-9.090909090909093
2026-03-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Eggs,92,Unit,aggregate,Retail,MWK,500.0,0.29,3,2026,0.0
2020-11-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (bonya),1231,Heap,aggregate,Retail,MWK,200.0,0.27,11,2020,
2020-12-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (bonya),1231,Heap,aggregate,Retail,MWK,200.0,0.27,12,2020,0.0
2021-01-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (bonya),1231,Heap,aggregate,Retail,MWK,200.0,0.26,1,2021,0.0
2021-02-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (bonya),1231,Heap,aggregate,Retail,MWK,200.0,0.26,2,2021,0.0
2021-03-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (bonya),1231,Heap,aggregate,Retail,MWK,200.0,0.26,3,2021,0.0
2021-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (bonya),1231,Heap,aggregate,Retail,MWK,200.0,0.26,4,2021,0.0
2025-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (bonya),1231,Heap,aggregate,Retail,MWK,1650.0,0.96,4,2025,725.0
2025-05-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (bonya),1231,Heap,aggregate,Retail,MWK,1411.76,0.81,5,2025,-14.438787878787885
2025-06-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (bonya),1231,Heap,aggregate,Retail,MWK,1966.67,1.13,6,2025,39.306256020853404
2025-07-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (bonya),1231,Heap,aggregate,Retail,MWK,2000.0,1.15,7,2025,1.6947428902662764
2025-08-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (bonya),1231,Heap,aggregate,Retail,MWK,1750.0,1.01,8,2025,-12.5
2020-11-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (kapenta),887,Heap,aggregate,Retail,MWK,200.0,0.27,11,2020,
2020-12-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (kapenta),887,Heap,aggregate,Retail,MWK,200.0,0.27,12,2020,0.0
2021-01-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (kapenta),887,Heap,aggregate,Retail,MWK,200.0,0.26,1,2021,0.0
2021-02-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (kapenta),887,Heap,aggregate,Retail,MWK,200.0,0.26,2,2021,0.0
2021-03-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (kapenta),887,Heap,aggregate,Retail,MWK,200.0,0.26,3,2021,0.0
2021-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (kapenta),887,Heap,aggregate,Retail,MWK,200.0,0.26,4,2021,0.0
2020-11-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (matemba),1232,Heap,aggregate,Retail,MWK,200.0,0.27,11,2020,
2020-12-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (matemba),1232,Heap,aggregate,Retail,MWK,200.0,0.27,12,2020,0.0
2021-01-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (matemba),1232,Heap,aggregate,Retail,MWK,200.0,0.26,1,2021,0.0
2021-02-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (matemba),1232,Heap,aggregate,Retail,MWK,200.0,0.26,2,2021,0.0
2021-03-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (matemba),1232,Heap,aggregate,Retail,MWK,200.0,0.26,3,2021,0.0
2021-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (matemba),1232,Heap,aggregate,Retail,MWK,200.0,0.26,4,2021,0.0
2025-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (matemba),1232,Heap,aggregate,Retail,MWK,1650.0,0.96,4,2025,725.0
2025-05-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (matemba),1232,Heap,aggregate,Retail,MWK,1411.76,0.81,5,2025,-14.438787878787885
2025-06-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (matemba),1232,Heap,aggregate,Retail,MWK,1966.67,1.13,6,2025,39.306256020853404
2025-07-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (matemba),1232,Heap,aggregate,Retail,MWK,2000.0,1.15,7,2025,1.6947428902662764
2025-08-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (matemba),1232,Heap,aggregate,Retail,MWK,1750.0,1.01,8,2025,-12.5
2020-11-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (usipa),1233,Heap,aggregate,Retail,MWK,200.0,0.27,11,2020,
2020-12-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (usipa),1233,Heap,aggregate,Retail,MWK,200.0,0.27,12,2020,0.0
2021-01-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (usipa),1233,Heap,aggregate,Retail,MWK,200.0,0.26,1,2021,0.0
2021-02-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (usipa),1233,Heap,aggregate,Retail,MWK,200.0,0.26,2,2021,0.0
2021-03-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (usipa),1233,Heap,aggregate,Retail,MWK,200.0,0.26,3,2021,0.0
2021-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (usipa),1233,Heap,aggregate,Retail,MWK,200.0,0.26,4,2021,0.0
2020-11-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (utaka),1234,Heap,aggregate,Retail,MWK,200.0,0.27,11,2020,
2020-12-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (utaka),1234,Heap,aggregate,Retail,MWK,200.0,0.27,12,2020,0.0
2021-01-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (utaka),1234,Heap,aggregate,Retail,MWK,200.0,0.26,1,2021,0.0
2021-02-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (utaka),1234,Heap,aggregate,Retail,MWK,200.0,0.26,2,2021,0.0
2021-03-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (utaka),1234,Heap,aggregate,Retail,MWK,200.0,0.26,3,2021,0.0
2021-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,"meat, fish and eggs",Fish (utaka),1234,Heap,aggregate,Retail,MWK,200.0,0.26,4,2021,0.0
2020-11-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Mustard leaves,1222,Bunch,aggregate,Retail,MWK,50.0,0.067,11,2020,
2020-12-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Mustard leaves,1222,Bunch,aggregate,Retail,MWK,53.06,0.071,12,2020,6.120000000000014
2021-01-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Mustard leaves,1222,Bunch,aggregate,Retail,MWK,63.0,0.083,1,2021,18.73350923482848
2021-02-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Mustard leaves,1222,Bunch,aggregate,Retail,MWK,63.0,0.083,2,2021,0.0
2021-03-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Mustard leaves,1222,Bunch,aggregate,Retail,MWK,63.0,0.081,3,2021,0.0
2021-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Mustard leaves,1222,Bunch,aggregate,Retail,MWK,63.0,0.081,4,2021,0.0
2025-05-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Mustard leaves,1222,Bunch,aggregate,Retail,MWK,300.0,0.17,5,2025,376.1904761904762
2025-06-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Mustard leaves,1222,Bunch,aggregate,Retail,MWK,300.0,0.17,6,2025,0.0
2025-07-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Mustard leaves,1222,Bunch,aggregate,Retail,MWK,300.0,0.17,7,2025,0.0
2020-11-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Onions,173,Unit,aggregate,Retail,MWK,50.0,0.067,11,2020,
2020-12-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Onions,173,Unit,aggregate,Retail,MWK,50.0,0.067,12,2020,0.0
2021-01-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Onions,173,Unit,aggregate,Retail,MWK,50.0,0.065,1,2021,0.0
2021-02-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Onions,173,Unit,aggregate,Retail,MWK,50.0,0.066,2,2021,0.0
2021-03-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Onions,173,Unit,aggregate,Retail,MWK,50.0,0.065,3,2021,0.0
2021-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Onions,173,Unit,aggregate,Retail,MWK,50.0,0.064,4,2021,0.0
2025-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Onions,173,Unit,aggregate,Retail,MWK,130.0,0.076,4,2025,160.0
2025-05-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Onions,173,Unit,aggregate,Retail,MWK,123.53,0.071,5,2025,-4.976923076923079
2025-06-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Onions,173,Unit,aggregate,Retail,MWK,193.33,0.11,6,2025,56.50449283574841
2025-07-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Onions,173,Unit,aggregate,Retail,MWK,200.0,0.12,7,2025,3.450059483784207
2025-08-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Onions,173,Unit,aggregate,Retail,MWK,150.0,0.087,8,2025,-25.0
2020-11-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Pumpkin leaves,1223,Bunch,aggregate,Retail,MWK,50.0,0.067,11,2020,
2020-12-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Pumpkin leaves,1223,Bunch,aggregate,Retail,MWK,53.06,0.071,12,2020,6.120000000000014
2021-01-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Pumpkin leaves,1223,Bunch,aggregate,Retail,MWK,63.0,0.083,1,2021,18.73350923482848
2021-02-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Pumpkin leaves,1223,Bunch,aggregate,Retail,MWK,63.0,0.083,2,2021,0.0
2021-03-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Pumpkin leaves,1223,Bunch,aggregate,Retail,MWK,63.0,0.081,3,2021,0.0
2021-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Pumpkin leaves,1223,Bunch,aggregate,Retail,MWK,63.0,0.081,4,2021,0.0
2025-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Pumpkin leaves,1223,Bunch,aggregate,Retail,MWK,300.0,0.17,4,2025,376.1904761904762
2025-05-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Pumpkin leaves,1223,Bunch,aggregate,Retail,MWK,240.0,0.14,5,2025,-19.999999999999996
